Streamer_Secret,Category,Viewercount,timestamp_of_extraction
c17241787ad4726b6f2a8c6158599f13b67bfda193ab6d9f07ea23243c74c464,Slots & Casino,2000,2024-03-20T23:03:46Z
80844897e9651d7aef9e7efa0e6c62ec3fa70a35f65a87068df613c1a4ed4942,Grand Theft Auto V (GTA),8710,2024-03-20T23:03:46Z
e69c62ce377018ef3aae462f54c7e18414b55270f588b1429dd1325a3067d0b3,Slots & Casino,5560,2024-03-20T23:03:46Z
f86e75f7aeb43b6e9e8708e08f7ce8b749c8462eab1be32af0302e4cd9a3a439,Destiny 2,61,2024-03-20T23:03:46Z
ae4e8ceb5331611a0c550fdcdcb615fef6573c40501b14211d950d98a7a3360d,Helldivers II,34,2024-03-20T23:03:46Z
ee6e17c4e51fc5eb7deb9b1e8cfeedd9c07954b96df2b024d3e6cd5b0220b69a,Call of Duty: Warzone,337,2024-03-20T23:08:47Z
b18684a83471b9f9eba8d56cc074dad030c69113f378951343ba7a7274e35fd0,Call of Duty: Warzone,11290,2024-03-20T23:08:47Z
45be465ca3641a44d0edbf8d1edb6a11b7891fc3f035423dd0835d12f0e527c8,Grand Theft Auto V (GTA),652,2024-03-20T23:08:47Z
c17241787ad4726b6f2a8c6158599f13b67bfda193ab6d9f07ea23243c74c464,Slots & Casino,1960,2024-03-20T23:08:47Z
1b01cd9e2882c976c2e000cb9e80b3cbce577fb4e35953a09a23efa1b24fba3a,Call of Duty: Modern Warfare III,174,2024-03-20T23:08:47Z
80844897e9651d7aef9e7efa0e6c62ec3fa70a35f65a87068df613c1a4ed4942,Grand Theft Auto V (GTA),8370,2024-03-20T23:08:47Z
f86e75f7aeb43b6e9e8708e08f7ce8b749c8462eab1be32af0302e4cd9a3a439,Destiny 2,64,2024-03-20T23:08:47Z
e69c62ce377018ef3aae462f54c7e18414b55270f588b1429dd1325a3067d0b3,Slots & Casino,5300,2024-03-20T23:08:47Z
ae4e8ceb5331611a0c550fdcdcb615fef6573c40501b14211d950d98a7a3360d,Helldivers II,36,2024-03-20T23:08:47Z
ee6e17c4e51fc5eb7deb9b1e8cfeedd9c07954b96df2b024d3e6cd5b0220b69a,Call of Duty: Warzone,381,2024-03-20T23:13:46Z
b18684a83471b9f9eba8d56cc074dad030c69113f378951343ba7a7274e35fd0,Call of Duty: Warzone,11370,2024-03-20T23:13:46Z
45be465ca3641a44d0edbf8d1edb6a11b7891fc3f035423dd0835d12f0e527c8,Grand Theft Auto V (GTA),718,2024-03-20T23:13:46Z
c17241787ad4726b6f2a8c6158599f13b67bfda193ab6d9f07ea23243c74c464,Slots & Casino,2050,2024-03-20T23:13:46Z
1b01cd9e2882c976c2e000cb9e80b3cbce577fb4e35953a09a23efa1b24fba3a,Call of Duty: Modern Warfare III,172,2024-03-20T23:13:46Z
80844897e9651d7aef9e7efa0e6c62ec3fa70a35f65a87068df613c1a4ed4942,Grand Theft Auto V (GTA),8390,2024-03-20T23:13:46Z
f86e75f7aeb43b6e9e8708e08f7ce8b749c8462eab1be32af0302e4cd9a3a439,Destiny 2,62,2024-03-20T23:13:46Z
ae4e8ceb5331611a0c550fdcdcb615fef6573c40501b14211d950d98a7a3360d,Helldivers II,41,2024-03-20T23:13:46Z
e69c62ce377018ef3aae462f54c7e18414b55270f588b1429dd1325a3067d0b3,Slots & Casino,5550,2024-03-20T23:13:46Z
ee6e17c4e51fc5eb7deb9b1e8cfeedd9c07954b96df2b024d3e6cd5b0220b69a,Call of Duty: Warzone,369,2024-03-20T23:18:48Z
b18684a83471b9f9eba8d56cc074dad030c69113f378951343ba7a7274e35fd0,Call of Duty: Warzone,11380,2024-03-20T23:18:48Z
c17241787ad4726b6f2a8c6158599f13b67bfda193ab6d9f07ea23243c74c464,Slots & Casino,2130,2024-03-20T23:18:48Z
45be465ca3641a44d0edbf8d1edb6a11b7891fc3f035423dd0835d12f0e527c8,Grand Theft Auto V (GTA),766,2024-03-20T23:18:48Z
1b01cd9e2882c976c2e000cb9e80b3cbce577fb4e35953a09a23efa1b24fba3a,Call of Duty: Modern Warfare III,165,2024-03-20T23:18:48Z
80844897e9651d7aef9e7efa0e6c62ec3fa70a35f65a87068df613c1a4ed4942,Grand Theft Auto V (GTA),8450,2024-03-20T23:18:48Z
f86e75f7aeb43b6e9e8708e08f7ce8b749c8462eab1be32af0302e4cd9a3a439,Destiny 2,63,2024-03-20T23:18:48Z
e69c62ce377018ef3aae462f54c7e18414b55270f588b1429dd1325a3067d0b3,Slots & Casino,5000,2024-03-20T23:18:48Z
ae4e8ceb5331611a0c550fdcdcb615fef6573c40501b14211d950d98a7a3360d,Helldivers II,37,2024-03-20T23:18:48Z
8519fdf1fd8cb7ca0217f0130e5aa6e4e9fd39f13857620dfe2a4aef144e84b8,Just Chatting,725,2024-03-20T23:23:47Z
b18684a83471b9f9eba8d56cc074dad030c69113f378951343ba7a7274e35fd0,Call of Duty: Warzone,10950,2024-03-20T23:23:47Z
c17241787ad4726b6f2a8c6158599f13b67bfda193ab6d9f07ea23243c74c464,Slots & Casino,2080,2024-03-20T23:23:47Z
e69c62ce377018ef3aae462f54c7e18414b55270f588b1429dd1325a3067d0b3,Slots & Casino,5040,2024-03-20T23:23:47Z
63c1b96466815ea1e6cec213a7b2d40eba0016cfd832426436afd4a12d521c7e,Just Chatting,784,2024-03-20T23:23:47Z
9a17bc8a071b6bd0b8a92df1b46b4835e789a483036e02216af88f704751f319,Call of Duty: Warzone,65,2024-03-20T23:23:47Z
80844897e9651d7aef9e7efa0e6c62ec3fa70a35f65a87068df613c1a4ed4942,Grand Theft Auto V (GTA),8590,2024-03-20T23:23:47Z
9104601353b6f354ba621e434da341514f88ce7b98e48b5c244c33b2a1c9d160,Just Chatting,63,2024-03-20T23:23:47Z
8c639e77d4bf97ebb9d77693a23c5fc4dc111df5b871f134b2ca2a44f0b15119,Old School RuneScape,51,2024-03-20T23:23:47Z
8519fdf1fd8cb7ca0217f0130e5aa6e4e9fd39f13857620dfe2a4aef144e84b8,Just Chatting,677,2024-03-20T23:28:47Z
b18684a83471b9f9eba8d56cc074dad030c69113f378951343ba7a7274e35fd0,Call of Duty: Warzone,10800,2024-03-20T23:28:47Z
63c1b96466815ea1e6cec213a7b2d40eba0016cfd832426436afd4a12d521c7e,Just Chatting,779,2024-03-20T23:28:47Z
c17241787ad4726b6f2a8c6158599f13b67bfda193ab6d9f07ea23243c74c464,Slots & Casino,2180,2024-03-20T23:28:47Z
9a17bc8a071b6bd0b8a92df1b46b4835e789a483036e02216af88f704751f319,Call of Duty: Warzone,67,2024-03-20T23:28:47Z
80844897e9651d7aef9e7efa0e6c62ec3fa70a35f65a87068df613c1a4ed4942,Grand Theft Auto V (GTA),8740,2024-03-20T23:28:47Z
e69c62ce377018ef3aae462f54c7e18414b55270f588b1429dd1325a3067d0b3,Slots & Casino,4930,2024-03-20T23:28:47Z
9104601353b6f354ba621e434da341514f88ce7b98e48b5c244c33b2a1c9d160,Just Chatting,119,2024-03-20T23:28:47Z
8c639e77d4bf97ebb9d77693a23c5fc4dc111df5b871f134b2ca2a44f0b15119,Old School RuneScape,49,2024-03-20T23:28:47Z
8519fdf1fd8cb7ca0217f0130e5aa6e4e9fd39f13857620dfe2a4aef144e84b8,Just Chatting,818,2024-03-20T23:33:47Z
b18684a83471b9f9eba8d56cc074dad030c69113f378951343ba7a7274e35fd0,Call of Duty: Warzone,10960,2024-03-20T23:33:47Z
63c1b96466815ea1e6cec213a7b2d40eba0016cfd832426436afd4a12d521c7e,Just Chatting,737,2024-03-20T23:33:47Z
c17241787ad4726b6f2a8c6158599f13b67bfda193ab6d9f07ea23243c74c464,Slots & Casino,2180,2024-03-20T23:33:47Z
9a17bc8a071b6bd0b8a92df1b46b4835e789a483036e02216af88f704751f319,Call of Duty: Warzone,65,2024-03-20T23:33:47Z
80844897e9651d7aef9e7efa0e6c62ec3fa70a35f65a87068df613c1a4ed4942,Grand Theft Auto V (GTA),8820,2024-03-20T23:33:47Z
e69c62ce377018ef3aae462f54c7e18414b55270f588b1429dd1325a3067d0b3,Slots & Casino,4850,2024-03-20T23:33:47Z
9104601353b6f354ba621e434da341514f88ce7b98e48b5c244c33b2a1c9d160,Just Chatting,136,2024-03-20T23:33:47Z
8c639e77d4bf97ebb9d77693a23c5fc4dc111df5b871f134b2ca2a44f0b15119,Old School RuneScape,49,2024-03-20T23:33:47Z
8519fdf1fd8cb7ca0217f0130e5aa6e4e9fd39f13857620dfe2a4aef144e84b8,Just Chatting,924,2024-03-20T23:38:47Z
b18684a83471b9f9eba8d56cc074dad030c69113f378951343ba7a7274e35fd0,Call of Duty: Warzone,11080,2024-03-20T23:38:47Z
c17241787ad4726b6f2a8c6158599f13b67bfda193ab6d9f07ea23243c74c464,Slots & Casino,2170,2024-03-20T23:38:47Z
63c1b96466815ea1e6cec213a7b2d40eba0016cfd832426436afd4a12d521c7e,Just Chatting,781,2024-03-20T23:38:47Z
e69c62ce377018ef3aae462f54c7e18414b55270f588b1429dd1325a3067d0b3,Slots & Casino,4980,2024-03-20T23:38:47Z
9a17bc8a071b6bd0b8a92df1b46b4835e789a483036e02216af88f704751f319,Call of Duty: Warzone,78,2024-03-20T23:38:47Z
80844897e9651d7aef9e7efa0e6c62ec3fa70a35f65a87068df613c1a4ed4942,Grand Theft Auto V (GTA),8730,2024-03-20T23:38:47Z
9104601353b6f354ba621e434da341514f88ce7b98e48b5c244c33b2a1c9d160,Just Chatting,109,2024-03-20T23:38:47Z
8c639e77d4bf97ebb9d77693a23c5fc4dc111df5b871f134b2ca2a44f0b15119,Old School RuneScape,56,2024-03-20T23:38:47Z
8519fdf1fd8cb7ca0217f0130e5aa6e4e9fd39f13857620dfe2a4aef144e84b8,Just Chatting,993,2024-03-20T23:43:47Z
b18684a83471b9f9eba8d56cc074dad030c69113f378951343ba7a7274e35fd0,Call of Duty: Warzone,11370,2024-03-20T23:43:47Z
c17241787ad4726b6f2a8c6158599f13b67bfda193ab6d9f07ea23243c74c464,Slots & Casino,2130,2024-03-20T23:43:47Z
63c1b96466815ea1e6cec213a7b2d40eba0016cfd832426436afd4a12d521c7e,Just Chatting,724,2024-03-20T23:43:47Z
9a17bc8a071b6bd0b8a92df1b46b4835e789a483036e02216af88f704751f319,Call of Duty: Warzone,89,2024-03-20T23:43:47Z
e69c62ce377018ef3aae462f54c7e18414b55270f588b1429dd1325a3067d0b3,Slots & Casino,5040,2024-03-20T23:43:47Z
80844897e9651d7aef9e7efa0e6c62ec3fa70a35f65a87068df613c1a4ed4942,Grand Theft Auto V (GTA),8330,2024-03-20T23:43:47Z
9104601353b6f354ba621e434da341514f88ce7b98e48b5c244c33b2a1c9d160,Just Chatting,120,2024-03-20T23:43:47Z
8c639e77d4bf97ebb9d77693a23c5fc4dc111df5b871f134b2ca2a44f0b15119,Old School RuneScape,56,2024-03-20T23:43:47Z
b18684a83471b9f9eba8d56cc074dad030c69113f378951343ba7a7274e35fd0,Call of Duty: Warzone,11840,2024-03-20T23:48:47Z
63c1b96466815ea1e6cec213a7b2d40eba0016cfd832426436afd4a12d521c7e,Just Chatting,761,2024-03-20T23:48:47Z
9a17bc8a071b6bd0b8a92df1b46b4835e789a483036e02216af88f704751f319,Call of Duty: Warzone,80,2024-03-20T23:48:47Z
c17241787ad4726b6f2a8c6158599f13b67bfda193ab6d9f07ea23243c74c464,Slots & Casino,1990,2024-03-20T23:48:47Z
e69c62ce377018ef3aae462f54c7e18414b55270f588b1429dd1325a3067d0b3,Slots & Casino,5080,2024-03-20T23:48:47Z
80844897e9651d7aef9e7efa0e6c62ec3fa70a35f65a87068df613c1a4ed4942,Grand Theft Auto V (GTA),8140.000000000001,2024-03-20T23:48:47Z
9104601353b6f354ba621e434da341514f88ce7b98e48b5c244c33b2a1c9d160,Just Chatting,136,2024-03-20T23:48:47Z
8c639e77d4bf97ebb9d77693a23c5fc4dc111df5b871f134b2ca2a44f0b15119,Old School RuneScape,55,2024-03-20T23:48:47Z
ffc5074790f4383f708e22f3fda9fa90154b3683f78ec72331d487f4d7176756,Just Chatting,19230,2024-03-20T23:48:47Z
89b1f4c3df983454e25b233320781610a2af048169f175b0f6f06300bf041d03,Fortnite,277,2024-03-20T23:53:46Z
b18684a83471b9f9eba8d56cc074dad030c69113f378951343ba7a7274e35fd0,Call of Duty: Warzone,10670,2024-03-20T23:53:46Z
c17241787ad4726b6f2a8c6158599f13b67bfda193ab6d9f07ea23243c74c464,Slots & Casino,1970,2024-03-20T23:53:46Z
63c1b96466815ea1e6cec213a7b2d40eba0016cfd832426436afd4a12d521c7e,Just Chatting,790,2024-03-20T23:53:46Z
e69c62ce377018ef3aae462f54c7e18414b55270f588b1429dd1325a3067d0b3,Slots & Casino,4930,2024-03-20T23:53:46Z
c74481d79f87cd43319e96d5a17434350217212c1ca8316aa813f66770a0c749,VALORANT,49,2024-03-20T23:53:46Z
9a17bc8a071b6bd0b8a92df1b46b4835e789a483036e02216af88f704751f319,Call of Duty: Warzone,93,2024-03-20T23:53:46Z
f9c664cd34c7af662c4f83fbbb397f474dd857df551c48a4bc04bdf31c06051f,Just Chatting,44,2024-03-20T23:53:46Z
80844897e9651d7aef9e7efa0e6c62ec3fa70a35f65a87068df613c1a4ed4942,Grand Theft Auto V (GTA),8250,2024-03-20T23:53:46Z
89b1f4c3df983454e25b233320781610a2af048169f175b0f6f06300bf041d03,Fortnite,358,2024-03-20T23:58:47Z
b18684a83471b9f9eba8d56cc074dad030c69113f378951343ba7a7274e35fd0,Call of Duty: Warzone,10510,2024-03-20T23:58:47Z
c74481d79f87cd43319e96d5a17434350217212c1ca8316aa813f66770a0c749,VALORANT,83,2024-03-20T23:58:47Z
c17241787ad4726b6f2a8c6158599f13b67bfda193ab6d9f07ea23243c74c464,Slots & Casino,1940,2024-03-20T23:58:47Z
e69c62ce377018ef3aae462f54c7e18414b55270f588b1429dd1325a3067d0b3,Slots & Casino,4950,2024-03-20T23:58:47Z
f9c664cd34c7af662c4f83fbbb397f474dd857df551c48a4bc04bdf31c06051f,Just Chatting,99,2024-03-20T23:58:47Z
80844897e9651d7aef9e7efa0e6c62ec3fa70a35f65a87068df613c1a4ed4942,Grand Theft Auto V (GTA),8440,2024-03-20T23:58:47Z
618fd91087cfbd8c0c1e3e8128c5826fea2982822a68503f5ed5c48ead90321e,Just Chatting,68,2024-03-20T23:58:47Z
2bfee3d9dd9e121971ebbd14b0a8e7aa7325ba53952c25fe7eb881032cbaa19b,Counter-Strike 2,62,2024-03-20T23:58:47Z
89b1f4c3df983454e25b233320781610a2af048169f175b0f6f06300bf041d03,Fortnite,366,2024-03-21T00:03:47Z
b18684a83471b9f9eba8d56cc074dad030c69113f378951343ba7a7274e35fd0,Call of Duty: Warzone,10320,2024-03-21T00:03:47Z
c74481d79f87cd43319e96d5a17434350217212c1ca8316aa813f66770a0c749,VALORANT,99,2024-03-21T00:03:47Z
f9c664cd34c7af662c4f83fbbb397f474dd857df551c48a4bc04bdf31c06051f,Just Chatting,135,2024-03-21T00:03:47Z
c17241787ad4726b6f2a8c6158599f13b67bfda193ab6d9f07ea23243c74c464,Slots & Casino,1830,2024-03-21T00:03:47Z
e69c62ce377018ef3aae462f54c7e18414b55270f588b1429dd1325a3067d0b3,Slots & Casino,5070,2024-03-21T00:03:47Z
80844897e9651d7aef9e7efa0e6c62ec3fa70a35f65a87068df613c1a4ed4942,Grand Theft Auto V (GTA),8260,2024-03-21T00:03:47Z
618fd91087cfbd8c0c1e3e8128c5826fea2982822a68503f5ed5c48ead90321e,Just Chatting,74,2024-03-21T00:03:47Z
2bfee3d9dd9e121971ebbd14b0a8e7aa7325ba53952c25fe7eb881032cbaa19b,Counter-Strike 2,70,2024-03-21T00:03:47Z
89b1f4c3df983454e25b233320781610a2af048169f175b0f6f06300bf041d03,Fortnite,408,2024-03-21T00:08:47Z
b18684a83471b9f9eba8d56cc074dad030c69113f378951343ba7a7274e35fd0,Call of Duty: Warzone,10100,2024-03-21T00:08:47Z
c17241787ad4726b6f2a8c6158599f13b67bfda193ab6d9f07ea23243c74c464,Slots & Casino,1760,2024-03-21T00:08:47Z
e69c62ce377018ef3aae462f54c7e18414b55270f588b1429dd1325a3067d0b3,Slots & Casino,5160,2024-03-21T00:08:47Z
c74481d79f87cd43319e96d5a17434350217212c1ca8316aa813f66770a0c749,VALORANT,113,2024-03-21T00:08:47Z
f9c664cd34c7af662c4f83fbbb397f474dd857df551c48a4bc04bdf31c06051f,Just Chatting,176,2024-03-21T00:08:47Z
80844897e9651d7aef9e7efa0e6c62ec3fa70a35f65a87068df613c1a4ed4942,Grand Theft Auto V (GTA),8440,2024-03-21T00:08:47Z
618fd91087cfbd8c0c1e3e8128c5826fea2982822a68503f5ed5c48ead90321e,Just Chatting,87,2024-03-21T00:08:47Z
2bfee3d9dd9e121971ebbd14b0a8e7aa7325ba53952c25fe7eb881032cbaa19b,Counter-Strike 2,65,2024-03-21T00:08:47Z
89b1f4c3df983454e25b233320781610a2af048169f175b0f6f06300bf041d03,Fortnite,460,2024-03-21T00:13:47Z
b18684a83471b9f9eba8d56cc074dad030c69113f378951343ba7a7274e35fd0,Call of Duty: Warzone,10250,2024-03-21T00:13:47Z
c17241787ad4726b6f2a8c6158599f13b67bfda193ab6d9f07ea23243c74c464,Slots & Casino,1750,2024-03-21T00:13:47Z
c74481d79f87cd43319e96d5a17434350217212c1ca8316aa813f66770a0c749,VALORANT,137,2024-03-21T00:13:47Z
f9c664cd34c7af662c4f83fbbb397f474dd857df551c48a4bc04bdf31c06051f,Just Chatting,142,2024-03-21T00:13:47Z
548985f42e7ed666f0b616e26e30140cac0966877e4c05253246183980d68d8a,Slots & Casino,1,2024-03-21T00:13:47Z
80844897e9651d7aef9e7efa0e6c62ec3fa70a35f65a87068df613c1a4ed4942,Grand Theft Auto V (GTA),8220,2024-03-21T00:13:47Z
618fd91087cfbd8c0c1e3e8128c5826fea2982822a68503f5ed5c48ead90321e,Just Chatting,90,2024-03-21T00:13:47Z
2bfee3d9dd9e121971ebbd14b0a8e7aa7325ba53952c25fe7eb881032cbaa19b,Counter-Strike 2,87,2024-03-21T00:13:47Z
89b1f4c3df983454e25b233320781610a2af048169f175b0f6f06300bf041d03,Fortnite,385,2024-03-21T00:18:47Z
ad1e89d3b06dbbed51dd84bae1b7793172d0ef01dab41bbfdb984c1992e86f8b,Grand Theft Auto V (GTA),23210,2024-03-21T00:18:47Z
c74481d79f87cd43319e96d5a17434350217212c1ca8316aa813f66770a0c749,VALORANT,87,2024-03-21T00:18:47Z
f9c664cd34c7af662c4f83fbbb397f474dd857df551c48a4bc04bdf31c06051f,Just Chatting,144,2024-03-21T00:18:47Z
b18684a83471b9f9eba8d56cc074dad030c69113f378951343ba7a7274e35fd0,Call of Duty: Warzone,9500,2024-03-21T00:18:47Z
c17241787ad4726b6f2a8c6158599f13b67bfda193ab6d9f07ea23243c74c464,Slots & Casino,1710,2024-03-21T00:18:47Z
618fd91087cfbd8c0c1e3e8128c5826fea2982822a68503f5ed5c48ead90321e,Just Chatting,112,2024-03-21T00:18:47Z
548985f42e7ed666f0b616e26e30140cac0966877e4c05253246183980d68d8a,Slots & Casino,914,2024-03-21T00:18:47Z
